time_min,time_hour,interval_min,total_load_kw,run_id
0,0.0,15.0,0.81,RUN-20260925-406045
15,0.25,15.0,0.81,RUN-20260925-406045
30,0.5,15.0,0.81,RUN-20260925-406045
45,0.75,15.0,0.81,RUN-20260925-406045
60,1.0,15.0,0.81,RUN-20260925-406045
75,1.25,15.0,0.81,RUN-20260925-406045
90,1.5,15.0,0.81,RUN-20260925-406045
105,1.75,15.0,0.81,RUN-20260925-406045
120,2.0,15.0,0.81,RUN-20260925-406045
135,2.25,15.0,0.81,RUN-20260925-406045
150,2.5,15.0,0.81,RUN-20260925-406045
165,2.75,15.0,0.81,RUN-20260925-406045
180,3.0,15.0,0.81,RUN-20260925-406045
195,3.25,15.0,0.81,RUN-20260925-406045
210,3.5,15.0,0.81,RUN-20260925-406045
225,3.75,15.0,0.81,RUN-20260925-406045
240,4.0,15.0,0.81,RUN-20260925-406045
255,4.25,15.0,0.81,RUN-20260925-406045
270,4.5,15.0,0.81,RUN-20260925-406045
285,4.75,15.0,0.81,RUN-20260925-406045
300,5.0,15.0,0.81,RUN-20260925-406045
315,5.25,15.0,0.81,RUN-20260925-406045
330,5.5,15.0,0.81,RUN-20260925-406045
345,5.75,15.0,0.81,RUN-20260925-406045
360,6.0,15.0,0.81,RUN-20260925-406045
375,6.25,15.0,0.81,RUN-20260925-406045
390,6.5,15.0,0.81,RUN-20260925-406045
405,6.75,15.0,0.81,RUN-20260925-406045
420,7.0,15.0,0.81,RUN-20260925-406045
435,7.25,15.0,0.81,RUN-20260925-406045
450,7.5,15.0,1.2133333333333336,RUN-20260925-406045
465,7.75,15.0,2.02,RUN-20260925-406045
480,8.0,15.0,62.769999999999996,RUN-20260925-406045
495,8.25,15.0,62.769999999999996,RUN-20260925-406045
510,8.5,15.0,62.769999999999996,RUN-20260925-406045
525,8.75,15.0,62.769999999999996,RUN-20260925-406045
540,9.0,15.0,62.769999999999996,RUN-20260925-406045
555,9.25,15.0,62.769999999999996,RUN-20260925-406045
570,9.5,15.0,62.769999999999996,RUN-20260925-406045
585,9.75,15.0,62.769999999999996,RUN-20260925-406045
600,10.0,15.0,62.769999999999996,RUN-20260925-406045
615,10.25,15.0,62.769999999999996,RUN-20260925-406045
630,10.5,15.0,62.769999999999996,RUN-20260925-406045
645,10.75,15.0,62.769999999999996,RUN-20260925-406045
660,11.0,15.0,62.769999999999996,RUN-20260925-406045
675,11.25,15.0,62.769999999999996,RUN-20260925-406045
690,11.5,15.0,62.769999999999996,RUN-20260925-406045
705,11.75,15.0,62.769999999999996,RUN-20260925-406045
720,12.0,15.0,62.769999999999996,RUN-20260925-406045
735,12.25,15.0,62.769999999999996,RUN-20260925-406045
750,12.5,15.0,62.769999999999996,RUN-20260925-406045
765,12.75,15.0,62.769999999999996,RUN-20260925-406045
780,13.0,15.0,62.769999999999996,RUN-20260925-406045
795,13.25,15.0,62.769999999999996,RUN-20260925-406045
810,13.5,15.0,62.769999999999996,RUN-20260925-406045
825,13.75,15.0,62.769999999999996,RUN-20260925-406045
840,14.0,15.0,62.769999999999996,RUN-20260925-406045
855,14.25,15.0,62.769999999999996,RUN-20260925-406045
870,14.5,15.0,62.769999999999996,RUN-20260925-406045
885,14.75,15.0,62.769999999999996,RUN-20260925-406045
900,15.0,15.0,62.769999999999996,RUN-20260925-406045
915,15.25,15.0,62.769999999999996,RUN-20260925-406045
930,15.5,15.0,62.769999999999996,RUN-20260925-406045
945,15.75,15.0,62.769999999999996,RUN-20260925-406045
960,16.0,15.0,62.769999999999996,RUN-20260925-406045
975,16.25,15.0,62.769999999999996,RUN-20260925-406045
990,16.5,15.0,62.769999999999996,RUN-20260925-406045
1005,16.75,15.0,62.769999999999996,RUN-20260925-406045
1020,17.0,15.0,62.769999999999996,RUN-20260925-406045
1035,17.25,15.0,62.769999999999996,RUN-20260925-406045
1050,17.5,15.0,62.769999999999996,RUN-20260925-406045
