time_min,time_hour,interval_min,total_load_kw,run_id
0,0.0,15.0,0.81,RUN-20260925-84770c
15,0.25,15.0,0.81,RUN-20260925-84770c
30,0.5,15.0,0.81,RUN-20260925-84770c
45,0.75,15.0,0.81,RUN-20260925-84770c
60,1.0,15.0,0.81,RUN-20260925-84770c
75,1.25,15.0,0.81,RUN-20260925-84770c
90,1.5,15.0,0.81,RUN-20260925-84770c
105,1.75,15.0,0.81,RUN-20260925-84770c
120,2.0,15.0,0.81,RUN-20260925-84770c
135,2.25,15.0,0.81,RUN-20260925-84770c
150,2.5,15.0,0.81,RUN-20260925-84770c
165,2.75,15.0,0.81,RUN-20260925-84770c
180,3.0,15.0,0.81,RUN-20260925-84770c
195,3.25,15.0,0.81,RUN-20260925-84770c
210,3.5,15.0,0.81,RUN-20260925-84770c
225,3.75,15.0,0.81,RUN-20260925-84770c
240,4.0,15.0,0.81,RUN-20260925-84770c
255,4.25,15.0,0.81,RUN-20260925-84770c
270,4.5,15.0,0.81,RUN-20260925-84770c
285,4.75,15.0,0.81,RUN-20260925-84770c
300,5.0,15.0,0.81,RUN-20260925-84770c
315,5.25,15.0,0.81,RUN-20260925-84770c
330,5.5,15.0,0.81,RUN-20260925-84770c
345,5.75,15.0,0.81,RUN-20260925-84770c
360,6.0,15.0,0.81,RUN-20260925-84770c
375,6.25,15.0,0.81,RUN-20260925-84770c
390,6.5,15.0,0.81,RUN-20260925-84770c
405,6.75,15.0,0.81,RUN-20260925-84770c
420,7.0,15.0,0.81,RUN-20260925-84770c
435,7.25,15.0,0.81,RUN-20260925-84770c
450,7.5,15.0,1.6166666666666667,RUN-20260925-84770c
465,7.75,15.0,2.02,RUN-20260925-84770c
480,8.0,15.0,60.091428571428565,RUN-20260925-84770c
495,8.25,15.0,60.091428571428565,RUN-20260925-84770c
510,8.5,15.0,60.091428571428565,RUN-20260925-84770c
525,8.75,15.0,60.091428571428565,RUN-20260925-84770c
540,9.0,15.0,60.091428571428565,RUN-20260925-84770c
555,9.25,15.0,60.091428571428565,RUN-20260925-84770c
570,9.5,15.0,60.091428571428565,RUN-20260925-84770c
585,9.75,15.0,60.091428571428565,RUN-20260925-84770c
600,10.0,15.0,60.091428571428565,RUN-20260925-84770c
615,10.25,15.0,60.091428571428565,RUN-20260925-84770c
630,10.5,15.0,60.091428571428565,RUN-20260925-84770c
645,10.75,15.0,60.091428571428565,RUN-20260925-84770c
660,11.0,15.0,60.091428571428565,RUN-20260925-84770c
675,11.25,15.0,60.091428571428565,RUN-20260925-84770c
690,11.5,15.0,60.091428571428565,RUN-20260925-84770c
705,11.75,15.0,60.091428571428565,RUN-20260925-84770c
720,12.0,15.0,60.091428571428565,RUN-20260925-84770c
735,12.25,15.0,60.091428571428565,RUN-20260925-84770c
750,12.5,15.0,60.091428571428565,RUN-20260925-84770c
765,12.75,15.0,60.091428571428565,RUN-20260925-84770c
780,13.0,15.0,60.091428571428565,RUN-20260925-84770c
