time_min,time_hour,interval_min,total_load_kw,run_id
0,0.0,15.0,0.81,RUN-20260925-421715
15,0.25,15.0,0.81,RUN-20260925-421715
30,0.5,15.0,0.81,RUN-20260925-421715
45,0.75,15.0,0.81,RUN-20260925-421715
60,1.0,15.0,0.81,RUN-20260925-421715
75,1.25,15.0,0.81,RUN-20260925-421715
90,1.5,15.0,0.81,RUN-20260925-421715
105,1.75,15.0,0.81,RUN-20260925-421715
120,2.0,15.0,0.81,RUN-20260925-421715
135,2.25,15.0,0.81,RUN-20260925-421715
150,2.5,15.0,0.81,RUN-20260925-421715
165,2.75,15.0,0.81,RUN-20260925-421715
180,3.0,15.0,0.81,RUN-20260925-421715
195,3.25,15.0,0.81,RUN-20260925-421715
210,3.5,15.0,0.81,RUN-20260925-421715
225,3.75,15.0,0.81,RUN-20260925-421715
240,4.0,15.0,0.81,RUN-20260925-421715
255,4.25,15.0,0.81,RUN-20260925-421715
270,4.5,15.0,0.81,RUN-20260925-421715
285,4.75,15.0,0.81,RUN-20260925-421715
300,5.0,15.0,0.81,RUN-20260925-421715
315,5.25,15.0,0.81,RUN-20260925-421715
330,5.5,15.0,0.81,RUN-20260925-421715
345,5.75,15.0,0.81,RUN-20260925-421715
360,6.0,15.0,0.81,RUN-20260925-421715
375,6.25,15.0,0.81,RUN-20260925-421715
390,6.5,15.0,0.81,RUN-20260925-421715
405,6.75,15.0,0.81,RUN-20260925-421715
420,7.0,15.0,0.81,RUN-20260925-421715
435,7.25,15.0,0.81,RUN-20260925-421715
450,7.5,15.0,1.2133333333333336,RUN-20260925-421715
465,7.75,15.0,2.02,RUN-20260925-421715
480,8.0,15.0,62.769999999999996,RUN-20260925-421715
495,8.25,15.0,62.769999999999996,RUN-20260925-421715
510,8.5,15.0,62.769999999999996,RUN-20260925-421715
525,8.75,15.0,62.769999999999996,RUN-20260925-421715
540,9.0,15.0,62.769999999999996,RUN-20260925-421715
555,9.25,15.0,62.769999999999996,RUN-20260925-421715
570,9.5,15.0,62.769999999999996,RUN-20260925-421715
585,9.75,15.0,62.769999999999996,RUN-20260925-421715
600,10.0,15.0,62.769999999999996,RUN-20260925-421715
615,10.25,15.0,62.769999999999996,RUN-20260925-421715
630,10.5,15.0,62.769999999999996,RUN-20260925-421715
645,10.75,15.0,62.769999999999996,RUN-20260925-421715
660,11.0,15.0,62.769999999999996,RUN-20260925-421715
675,11.25,15.0,62.769999999999996,RUN-20260925-421715
690,11.5,15.0,62.769999999999996,RUN-20260925-421715
705,11.75,15.0,62.769999999999996,RUN-20260925-421715
720,12.0,15.0,62.769999999999996,RUN-20260925-421715
735,12.25,15.0,62.769999999999996,RUN-20260925-421715
750,12.5,15.0,62.769999999999996,RUN-20260925-421715
765,12.75,15.0,62.769999999999996,RUN-20260925-421715
780,13.0,15.0,62.769999999999996,RUN-20260925-421715
795,13.25,15.0,62.769999999999996,RUN-20260925-421715
810,13.5,15.0,62.769999999999996,RUN-20260925-421715
825,13.75,15.0,62.769999999999996,RUN-20260925-421715
840,14.0,15.0,62.769999999999996,RUN-20260925-421715
855,14.25,15.0,62.769999999999996,RUN-20260925-421715
870,14.5,15.0,62.769999999999996,RUN-20260925-421715
885,14.75,15.0,62.769999999999996,RUN-20260925-421715
900,15.0,15.0,62.769999999999996,RUN-20260925-421715
915,15.25,15.0,62.769999999999996,RUN-20260925-421715
930,15.5,15.0,62.769999999999996,RUN-20260925-421715
945,15.75,15.0,62.769999999999996,RUN-20260925-421715
960,16.0,15.0,62.769999999999996,RUN-20260925-421715
975,16.25,15.0,62.769999999999996,RUN-20260925-421715
990,16.5,15.0,62.769999999999996,RUN-20260925-421715
1005,16.75,15.0,62.769999999999996,RUN-20260925-421715
1020,17.0,15.0,62.769999999999996,RUN-20260925-421715
1035,17.25,15.0,62.769999999999996,RUN-20260925-421715
1050,17.5,15.0,62.769999999999996,RUN-20260925-421715
1065,17.75,15.0,62.769999999999996,RUN-20260925-421715
1080,18.0,15.0,62.769999999999996,RUN-20260925-421715
1095,18.25,15.0,62.769999999999996,RUN-20260925-421715
1110,18.5,15.0,62.769999999999996,RUN-20260925-421715
1125,18.75,15.0,62.769999999999996,RUN-20260925-421715
1140,19.0,15.0,62.769999999999996,RUN-20260925-421715
1155,19.25,15.0,62.769999999999996,RUN-20260925-421715
1170,19.5,15.0,62.769999999999996,RUN-20260925-421715
1185,19.75,15.0,62.769999999999996,RUN-20260925-421715
1200,20.0,15.0,62.769999999999996,RUN-20260925-421715
1215,20.25,15.0,62.769999999999996,RUN-20260925-421715
1230,20.5,15.0,62.769999999999996,RUN-20260925-421715
