order_date,customer_id,product_id,order_qty,year,month,day_of_week,is_weekend
2013-01-01,DC_Marmara,P01,13,2013,1,1,0
2013-01-01,DC_Ege,P01,12,2013,1,1,0
2013-01-01,OEM_Automotive,P01,19,2013,1,1,0
2013-01-01,DC_Marmara,P02,33,2013,1,1,0
2013-01-01,DC_Ege,P02,41,2013,1,1,0
2013-01-01,OEM_Automotive,P02,43,2013,1,1,0
2013-01-01,DC_Marmara,P03,15,2013,1,1,0
2013-01-01,DC_Ege,P03,19,2013,1,1,0
2013-01-01,OEM_Automotive,P03,26,2013,1,1,0
2013-01-01,DC_Marmara,P04,10,2013,1,1,0
2013-01-01,DC_Ege,P04,21,2013,1,1,0
2013-01-01,OEM_Automotive,P04,9,2013,1,1,0
2013-01-01,DC_Marmara,P05,11,2013,1,1,0
2013-01-01,DC_Ege,P05,4,2013,1,1,0
2013-01-01,OEM_Automotive,P05,13,2013,1,1,0
2013-01-02,DC_Marmara,P01,11,2013,1,2,0
2013-01-02,DC_Ege,P01,16,2013,1,2,0
2013-01-02,OEM_Automotive,P01,8,2013,1,2,0
2013-01-02,DC_Marmara,P02,43,2013,1,2,0
2013-01-02,DC_Ege,P02,33,2013,1,2,0
2013-01-02,OEM_Automotive,P02,27,2013,1,2,0
2013-01-02,DC_Marmara,P03,30,2013,1,2,0
2013-01-02,DC_Ege,P03,32,2013,1,2,0
2013-01-02,OEM_Automotive,P03,16,2013,1,2,0
2013-01-02,DC_Marmara,P04,11,2013,1,2,0
2013-01-02,DC_Ege,P04,14,2013,1,2,0
2013-01-02,OEM_Automotive,P04,15,2013,1,2,0
2013-01-02,DC_Marmara,P05,6,2013,1,2,0
2013-01-02,DC_Ege,P05,6,2013,1,2,0
2013-01-02,OEM_Automotive,P05,9,2013,1,2,0
2013-01-03,DC_Marmara,P01,14,2013,1,3,0
2013-01-03,DC_Ege,P01,16,2013,1,3,0
2013-01-03,OEM_Automotive,P01,10,2013,1,3,0
2013-01-03,DC_Marmara,P02,23,2013,1,3,0
2013-01-03,DC_Ege,P02,46,2013,1,3,0
2013-01-03,OEM_Automotive,P02,38,2013,1,3,0
2013-01-03,DC_Marmara,P03,14,2013,1,3,0
2013-01-03,DC_Ege,P03,26,2013,1,3,0
2013-01-03,OEM_Automotive,P03,17,2013,1,3,0
2013-01-03,DC_Marmara,P04,8,2013,1,3,0
2013-01-03,DC_Ege,P04,12,2013,1,3,0
2013-01-03,OEM_Automotive,P04,9,2013,1,3,0
2013-01-03,DC_Marmara,P05,8,2013,1,3,0
2013-01-03,DC_Ege,P05,12,2013,1,3,0
2013-01-03,OEM_Automotive,P05,10,2013,1,3,0
2013-01-04,DC_Marmara,P01,13,2013,1,4,0
2013-01-04,DC_Ege,P01,20,2013,1,4,0
2013-01-04,OEM_Automotive,P01,15,2013,1,4,0
2013-01-04,DC_Marmara,P02,18,2013,1,4,0
2013-01-04,DC_Ege,P02,50,2013,1,4,0
2013-01-04,OEM_Automotive,P02,35,2013,1,4,0
2013-01-04,DC_Marmara,P03,10,2013,1,4,0
2013-01-04,DC_Ege,P03,34,2013,1,4,0
2013-01-04,OEM_Automotive,P03,25,2013,1,4,0
2013-01-04,DC_Marmara,P04,19,2013,1,4,0
2013-01-04,DC_Ege,P04,17,2013,1,4,0
2013-01-04,OEM_Automotive,P04,16,2013,1,4,0
2013-01-04,DC_Marmara,P05,9,2013,1,4,0
2013-01-04,DC_Ege,P05,16,2013,1,4,0
2013-01-04,OEM_Automotive,P05,20,2013,1,4,0
2013-01-05,DC_Marmara,P01,10,2013,1,5,1
2013-01-05,DC_Ege,P01,16,2013,1,5,1
2013-01-05,OEM_Automotive,P01,22,2013,1,5,1
2013-01-05,DC_Marmara,P02,34,2013,1,5,1
2013-01-05,DC_Ege,P02,44,2013,1,5,1
2013-01-05,OEM_Automotive,P02,47,2013,1,5,1
2013-01-05,DC_Marmara,P03,23,2013,1,5,1
2013-01-05,DC_Ege,P03,25,2013,1,5,1
2013-01-05,OEM_Automotive,P03,34,2013,1,5,1
2013-01-05,DC_Marmara,P04,12,2013,1,5,1
2013-01-05,DC_Ege,P04,14,2013,1,5,1
2013-01-05,OEM_Automotive,P04,16,2013,1,5,1
2013-01-05,DC_Marmara,P05,8,2013,1,5,1
2013-01-05,DC_Ege,P05,9,2013,1,5,1
2013-01-05,OEM_Automotive,P05,13,2013,1,5,1
2013-01-06,DC_Marmara,P01,12,2013,1,6,1
2013-01-06,DC_Ege,P01,18,2013,1,6,1
2013-01-06,OEM_Automotive,P01,22,2013,1,6,1
2013-01-06,DC_Marmara,P02,38,2013,1,6,1
2013-01-06,DC_Ege,P02,57,2013,1,6,1
2013-01-06,OEM_Automotive,P02,49,2013,1,6,1
2013-01-06,DC_Marmara,P03,23,2013,1,6,1
2013-01-06,DC_Ege,P03,27,2013,1,6,1
2013-01-06,OEM_Automotive,P03,25,2013,1,6,1
2013-01-06,DC_Marmara,P04,16,2013,1,6,1
2013-01-06,DC_Ege,P04,17,2013,1,6,1
2013-01-06,OEM_Automotive,P04,13,2013,1,6,1
2013-01-06,DC_Marmara,P05,13,2013,1,6,1
2013-01-06,DC_Ege,P05,16,2013,1,6,1
2013-01-06,OEM_Automotive,P05,12,2013,1,6,1
2013-01-07,DC_Marmara,P01,10,2013,1,0,0
2013-01-07,DC_Ege,P01,12,2013,1,0,0
2013-01-07,OEM_Automotive,P01,7,2013,1,0,0
2013-01-07,DC_Marmara,P02,27,2013,1,0,0
2013-01-07,DC_Ege,P02,27,2013,1,0,0
2013-01-07,OEM_Automotive,P02,38,2013,1,0,0
2013-01-07,DC_Marmara,P03,10,2013,1,0,0
2013-01-07,DC_Ege,P03,29,2013,1,0,0
2013-01-07,OEM_Automotive,P03,21,2013,1,0,0
2013-01-07,DC_Marmara,P04,7,2013,1,0,0
2013-01-07,DC_Ege,P04,13,2013,1,0,0
2013-01-07,OEM_Automotive,P04,11,2013,1,0,0
2013-01-07,DC_Marmara,P05,11,2013,1,0,0
2013-01-07,DC_Ege,P05,7,2013,1,0,0
2013-01-07,OEM_Automotive,P05,3,2013,1,0,0
2013-01-08,DC_Marmara,P01,9,2013,1,1,0
2013-01-08,DC_Ege,P01,11,2013,1,1,0
2013-01-08,OEM_Automotive,P01,15,2013,1,1,0
2013-01-08,DC_Marmara,P02,28,2013,1,1,0
2013-01-08,DC_Ege,P02,43,2013,1,1,0
